00000;Unknown version
10240;v 1507 "July 2015 update"
10586;v 1511 "November 2015 update"
14393;v 1607 "July 2016 (Anniversary update)"
15063;v 1703 "April 2017 (Creators update)"
16299;v 1709 "October 2017 (Fall Creators update)"
17134;v 1803 "April 2018 update"
17763;v 1809 "October 2018 update"
18362;v 1903 "May 2019 update"
18363;v 1909 "November 2019 update"
19041;v 2004 "May 2020 update"
19042;v 20H2 "October 2020 update"
19043;v 21H1 "May 2021 update"
19044;v 21H2 "November 2021 update"
19045;v 22H2 "October 2022 update"
